Doctor Name,Specialization,Review Rating,Total Reviews,comment
Dr. Mia Carter,Pediatric Infectious Diseases,4.5,135,comment
Dr. Owen Johnson,Vascular Surgery,4.0,81,comment
Dr. Stella Martinez,Child and Adolescent Psychiatry,4.8,142,comment
Dr. Isaiah White,Colorectal Surgery,4.4,96,comment
Dr. Chloe Turner,Sleep Medicine,3.2,67,comment
Dr. Elijah Hill,Pediatric Cardiology,3.8,77,comment
Dr. Isabella Brown,Plastic Surgery,2.5,58,comment
Dr. Mason Turner,Medical Genetics,3.0,68,comment
Dr. Aria Robinson,Pediatric Rheumatology,3.5,52,comment
Dr. Ethan Carter,Interventional Cardiology,2.8,49,comment
Dr. Sofia Smith,Medical Microbiology,3.7,82,comment
Dr. Levi Evans,Obstetrics and Gynecology,2.1,43,comment
Dr. Scarlett Garcia,Child and Adolescent Psychiatry,2.9,64,comment
Dr. Zane Turner,Urology,3.3,72,comment
Dr. Layla Wright,Endocrinology,4.1,117,comment
Dr. Caleb Hall,Anesthesiology,2.4,37,comment
Dr. Penelope Lopez,Pediatric Neurology,4.2,99,comment
Dr. Isaac King,Medical Toxicology,3.6,79,comment
Dr. Harper Baker,Radiation Oncology,2.7,53,comment
Dr. Eli Ward,Sleep Medicine,3.4,61,comment
Dr. Addison Green,Dermatopathology,2.2,48,comment
Dr. Aurora Hill,Pediatric Orthopedics,3.1,54,comment
Dr. Hudson Ross,Reproductive Endocrinology and Infertility,2.3,41,comment
Dr. Grace Evans,Psychiatry,1.9,29,comment
Dr. Luke Campbell,Pediatric Emergency Medicine,4.0,86,comment
Dr. Lily Turner,Internal Medicine,2.6,38,comment
Dr. Oliver Martinez,Neurology,3.9,94,comment
